objectId,witness
kb_503_Normalized,{}
kb_505_Normalized,{}
kb_504_Normalized,{}
kb_660_Normalized,{}
kb_659_Normalized,{}
kb_562_Normalized,""""""
kb_563_Normalized,""""""
kb_500_Normalized,{}
kb_502_Normalized,{}
kb_501_Normalized,{}
kb_493_Normalized,{}
kb_492_Normalized,{}
kb_491_Normalized,{}
kb_499_Normalized,{}
kb_498_Normalized,{}
kb_497_Normalized,{}
kb_960_Normalized,{}
kb_959_Normalized,{}
kb_958_Normalized,{}
kb_1063_Normalized,""""""
kb_1062_Normalized,""""""
kb_872_Normalized,{}
kb_871_Normalized,{}
kb_870_Normalized,{}
kb_919_Normalized,{}
kb_917_Normalized,{}
kb_916_Normalized,{}
kb_920_Normalized,{}
kb_918_Normalized,{}
kb_12_Normalized,"{""driver"":""""}"
kb_11_Normalized,"{""driver"":""""}"
kb_8_Normalized,"{""name"":""""}"
kb_9_Normalized,"{""name"":""""}"
kb_7_Normalized,"{""name"":""""}"
kb_224_Normalized,"{""Port"":0}"
kb_223_Normalized,"{""Port"":0}"
kb_340_Normalized,{}
kb_341_Normalized,{}
kb_339_Normalized,{}
kb_1093_Normalized,"{""name"":""""}"
kb_1092_Normalized,"{""name"":""""}"
kb_704_Normalized,{}
kb_703_Normalized,{}
kb_464_Normalized,"{""name"":""""}"
kb_463_Normalized,"{""name"":""""}"
kb_715_Normalized,"{""conditionType"":""""}"
kb_716_Normalized,"{""conditionType"":""""}"
kb_705_Normalized,{}
kb_706_Normalized,{}
kb_360_Normalized,"{""type"":""""}"
kb_361_Normalized,"{""type"":""""}"
kb_883_Normalized,{}
kb_542_Normalized,{}
kb_541_Normalized,{}
kb_772_Normalized,"{""name"":""""}"
kb_773_Normalized,"{""name"":""""}"
kb_10_Normalized,"{""driver"":""""}"
kb_884_Normalized,{}
kb_885_Normalized,{}
kb_882_Normalized,{}
kb_217_Normalized,{}
kb_219_Normalized,{}
kb_333_Normalized,{}
kb_218_Normalized,{}
kb_334_Normalized,{}
kb_1056_Normalized,"{""name"":"""",""value"":""""}"
kb_1057_Normalized,"{""name"":"""",""value"":""""}"
kb_297_Normalized,{}
kb_299_Normalized,{}
kb_298_Normalized,{}
kb_384_Normalized,"{""name"":""""}"
kb_383_Normalized,"{""name"":""""}"
kb_755_Normalized,{}
kb_754_Normalized,{}
kb_423_Normalized,"{""name"":"""",""value"":""""}"
kb_424_Normalized,"{""name"":"""",""value"":""""}"
kb_131_Normalized,{}
kb_132_Normalized,{}
kb_82_Normalized,{}
kb_81_Normalized,{}
kb_634_Normalized,{}
kb_636_Normalized,{}
kb_635_Normalized,{}
kb_608_Normalized,"{""address"":"""",""type"":""""}"
kb_609_Normalized,"{""address"":"""",""type"":""""}"
kb_41_Normalized,"{""devicePath"":"""",""name"":""""}"
kb_42_Normalized,"{""devicePath"":"""",""name"":""""}"
kb_580_Normalized,{}
kb_579_Normalized,{}
kb_433_Normalized,"{""min"":0,""max"":0}"
kb_943_Normalized,{}
kb_432_Normalized,"{""min"":0,""max"":0}"
kb_944_Normalized,{}
kb_642_Normalized,"{""fieldPath"":""""}"
kb_643_Normalized,"{""fieldPath"":""""}"
kb_1156_Normalized,{}
kb_1155_Normalized,{}
kb_1125_Normalized,"{""devicePath"":"""",""name"":""""}"
kb_1126_Normalized,"{""devicePath"":"""",""name"":""""}"
kb_431_Normalized,"{""min"":0,""max"":0}"
kb_410_Normalized,{}
kb_411_Normalized,{}
kb_1136_Normalized,{}
kb_975_Normalized,"{""name"":"""",""namespace"":""""}"
kb_1137_Normalized,{}
kb_974_Normalized,"{""name"":"""",""namespace"":""""}"
kb_682_Normalized,"{""pdID"":""""}"
kb_681_Normalized,"{""pdID"":""""}"
kb_1135_Normalized,{}
kb_416_Normalized,"{""min"":0,""max"":0}"
kb_415_Normalized,"{""min"":0,""max"":0}"
kb_935_Normalized,{}
kb_936_Normalized,{}
kb_537_Normalized,{}
kb_538_Normalized,{}
kb_108_Normalized,{}
kb_107_Normalized,{}
kb_61_Normalized,{}
kb_62_Normalized,{}
kb_358_Normalized,{}
kb_359_Normalized,{}
kb_351_Normalized,{}
kb_350_Normalized,{}
kb_121_Normalized,"{""names"":[]}"
kb_122_Normalized,"{""names"":[]}"
kb_414_Normalized,"{""min"":0,""max"":0}"
kb_109_Normalized,"{""key"":""""}"
kb_110_Normalized,"{""key"":""""}"
kb_385_Normalized,"{""groupVersion"":"""",""version"":""""}"
kb_386_Normalized,"{""groupVersion"":"""",""version"":""""}"
kb_352_Normalized,{}
kb_353_Normalized,{}
kb_745_Normalized,"{""level"":""""}"
kb_744_Normalized,"{""level"":""""}"
kb_127_Normalized,{}
kb_128_Normalized,{}
kb_868_Normalized,"{""apiGroup"":"""",""kind"":"""",""name"":""""}"
kb_869_Normalized,"{""apiGroup"":"""",""kind"":"""",""name"":""""}"
kb_867_Normalized,"{""apiGroup"":"""",""kind"":"""",""name"":""""}"
kb_866_Normalized,"{""apiGroup"":"""",""kind"":"""",""name"":""""}"
kb_338_Normalized,{}
kb_337_Normalized,{}
kb_412_Normalized,"{""path"":""""}"
kb_413_Normalized,"{""path"":""""}"
kb_966_Normalized,"{""clientCIDR"":"""",""serverAddress"":""""}"
kb_967_Normalized,"{""clientCIDR"":"""",""serverAddress"":""""}"
kb_938_Normalized,"{""key"":""""}"
kb_937_Normalized,"{""key"":""""}"
kb_547_Normalized,"{""path"":""""}"
kb_546_Normalized,"{""path"":""""}"
kb_1082_Normalized,"{""values"":[],""key"":""""}"
kb_1081_Normalized,"{""values"":[],""key"":""""}"
kb_987_Normalized,{}
kb_986_Normalized,{}
kb_989_Normalized,{}
kb_55_Normalized,"{""secretName"":"""",""shareName"":""""}"
kb_56_Normalized,"{""secretName"":"""",""shareName"":""""}"
kb_59_Normalized,{}
kb_60_Normalized,{}
kb_923_Normalized,"{""replicas"":0}"
kb_925_Normalized,"{""replicas"":0}"
kb_15_Normalized,{}
kb_14_Normalized,{}
kb_158_Normalized,"{""kind"":"""",""name"":""""}"
