"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"kb_503_Normalized",123,166,740,43,486,4,19,0,1,7,0,1,64,0,31,13,"true","false","true",2,NA,"13062022_193343",0,"1309f5802593d673c53c7730e652ea21f5e98596","pcattouche"
"kb_505_Normalized",123,166,7,0,0,0,1,0,1,0,0,0,1,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_504_Normalized",123,166,7,1,0,0,0,0,1,0,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_660_Normalized",135,166,6,0,0,0,1,0,0,1,0,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_659_Normalized",135,166,7,1,0,0,0,0,1,0,0,2,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_562_Normalized",137,166,16,0,1,0,1,0,0,1,0,0,0,0,2,9,"true","false","true",2,NA,"",NA,"",""
"kb_563_Normalized",137,166,6,0,0,0,1,0,0,1,0,0,1,0,2,1,"true","false","true",2,NA,"",NA,"",""
"kb_783_Normalized",145,296,16,0,1,1,1,0,1,2,0,1,1,1,3,1,"false","true","",3,NA,"",NA,"",""
"kb_782_Normalized",145,296,10,0,0,0,1,0,0,2,2,0,0,0,1,1,"false","true","",3,NA,"",NA,"",""
"kb_469_Normalized",146,357,21,0,0,1,2,0,1,5,0,1,1,0,1,0,"false","true","",3,NA,"",NA,"",""
"kb_470_Normalized",146,357,13,0,0,0,1,0,1,3,0,0,2,0,1,1,"false","true","",3,NA,"",NA,"",""
"kb_500_Normalized",158,166,5,0,0,0,1,0,0,0,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_502_Normalized",158,166,5,0,0,0,1,0,0,1,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_501_Normalized",158,166,5,0,0,0,1,0,0,1,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
