objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o26951,197,710,517,36,387,6,18,0,2,12,0,2,3,0,19,2,true,false,true,2,,28062022_133404,0,1954a5778c6349c1a2283d9983b8a253996f73ed,pcattouche
o26952,220,710,9,0,1,0,0,0,0,3,0,2,0,0,1,0,true,false,true,2,,,,,
o48017,258,440,60,1,0,1,48,0,0,2,0,0,1,0,3,1,true,false,true,2,,,,,
o26954,298,977,9,1,0,0,1,0,0,3,0,0,0,1,1,1,true,false,true,2,,,,,
o41599,331,322,6,1,0,0,0,0,0,1,0,0,0,0,2,1,true,false,true,2,,,,,
o75109,356,166,11,0,0,1,6,0,0,1,0,0,0,0,1,2,true,false,true,2,,,,,
o60103,397,177,19,0,0,0,0,0,0,1,0,0,0,0,16,1,true,false,true,2,,,,,
o26956,402,1244,7,0,0,0,1,0,0,2,0,0,1,0,1,0,true,false,true,2,,,,,
o70518,402,857,8,0,0,0,2,0,1,1,1,0,0,0,2,0,true,false,true,2,,,,,
o46299,415,423,5,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o42158,425,931,33,0,2,0,4,0,0,1,3,0,4,0,4,9,true,false,true,2,,,,,
o10076,447,870,17,0,1,2,3,0,4,1,1,0,1,1,2,0,true,false,true,2,,,,,
o89789,466,584,6,0,0,0,1,0,1,1,0,0,0,0,1,1,true,false,true,2,,,,,
o67524,470,177,3,0,0,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o58615,534,2573,19,0,1,0,2,0,1,2,1,3,1,1,3,1,true,false,true,2,,,,,
o42161,543,1608,16,0,0,0,1,0,0,2,1,0,3,0,2,3,true,false,true,2,,,,,
o26958,543,1778,10,0,0,1,0,0,0,4,0,0,0,1,1,0,true,false,true,2,,,,,
o41582,580,654,4,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o9884,585,2730,43,0,0,1,15,0,5,1,7,0,1,0,2,5,true,false,true,2,,,,,
o75090,595,942,11,0,1,0,0,0,0,1,0,1,3,0,1,1,true,false,true,2,,,,,
o9885,625,2831,33,1,0,0,9,0,7,1,4,0,1,0,2,1,true,false,true,2,,,,,
o41679,639,1234,11,0,0,0,1,0,0,1,0,0,1,1,1,2,true,false,true,2,,,,,
o88596,641,975,6,0,0,0,1,0,0,0,1,1,0,0,0,0,true,false,true,2,,,,,
o10475,651,2907,26,0,0,0,5,0,1,1,8,0,2,1,2,2,true,false,true,2,,,,,
o90605,658,1263,8,0,0,0,1,0,0,0,1,0,0,1,1,2,true,false,true,2,,,,,
o48879,675,813,8,0,1,3,2,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o68296,683,1193,12,0,1,0,0,0,0,1,0,0,5,0,1,2,true,false,true,2,,,,,
o13671,686,2541,15,0,0,0,1,0,0,1,1,1,3,1,1,3,true,false,true,2,,,,,
o42156,719,1728,9,0,0,0,1,0,1,1,1,0,2,0,1,1,true,false,true,2,,,,,
o60145,724,1521,11,0,0,0,0,0,0,1,0,0,2,0,1,3,true,false,true,2,,,,,
o9824,742,4273,23,0,0,0,6,0,1,2,6,2,1,1,3,0,true,false,true,2,,,,,
o65455,743,783,5,0,0,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o6120,793,3004,14,1,0,0,1,0,0,1,3,0,2,0,2,1,true,false,true,2,,,,,
o19070,795,2060,11,0,0,1,0,0,1,1,0,0,3,0,1,2,true,false,true,2,,,,,
o58633,798,1142,6,0,0,0,1,0,1,0,1,1,1,0,0,1,true,false,true,2,,,,,
o42159,833,2634,9,0,0,0,1,0,0,1,1,2,2,0,1,1,true,false,true,2,,,,,
o9933,842,2965,3364,0,0,0,4,0,3090,1,263,0,2,0,2,0,true,false,true,2,,,,,
o68337,860,1438,7,0,0,0,0,0,1,0,0,0,2,0,1,2,true,false,true,2,,,,,
o89639,874,2857,15,0,0,1,2,0,1,1,1,0,4,0,1,2,true,false,true,2,,,,,
o82223,879,1174,5,0,0,1,0,0,0,1,0,1,0,0,0,0,true,false,true,2,,,,,
o50674,884,1854,9,1,0,0,0,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
o10069,892,2430,9,0,0,1,2,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o46414,896,1021,4,0,0,0,0,0,1,0,0,0,1,0,2,0,true,false,true,2,,,,,
o60144,908,2033,8,0,0,0,0,0,1,1,0,0,2,0,1,2,true,false,true,2,,,,,
o9825,914,3393,14,0,0,1,2,0,1,1,2,0,2,0,1,1,true,false,true,2,,,,,
o36080,928,1243,8,0,0,4,1,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o88584,935,2868,11,0,0,1,0,0,1,1,0,1,2,0,1,2,true,false,true,2,,,,,
o83719,935,3701,13,0,0,1,2,0,0,1,1,0,3,1,2,1,true,false,true,2,,,,,
o45114,942,3366,8,0,0,0,1,0,1,1,1,0,2,0,1,0,true,false,true,2,,,,,
o58627,945,3831,12,1,0,0,1,0,0,1,1,1,5,0,1,0,true,false,true,2,,,,,
o58489,963,4214,13,0,0,0,1,0,1,1,1,0,3,0,1,2,true,false,true,2,,,,,
o9931,963,3588,3209,0,0,0,3,0,2942,1,256,0,2,0,1,0,true,false,true,2,,,,,
o9871,967,5130,12684,0,0,0,3691,0,4556,1,4429,0,2,0,1,1,true,false,true,2,,,,,
o9803,971,3964,3431,0,0,1,15,0,3161,1,241,1,6,0,1,1,true,false,true,2,,,,,
o60129,972,4074,9,0,1,0,0,0,1,1,1,1,1,0,0,1,true,false,true,2,,,,,
o84363,973,2234,6,0,0,0,0,0,1,0,0,0,1,0,0,0,true,false,true,2,,,,,
o76638,982,11408,107,0,0,3,28,0,1,3,0,1,38,1,25,0,true,false,true,2,,,,,
o68824,990,1473,7,0,1,0,0,0,1,1,0,0,1,1,1,1,true,false,true,2,,,,,
o90946,997,3865,9,0,1,0,2,0,0,1,1,1,1,0,1,0,true,false,true,2,,,,,
o76469,1000,2993,14,0,2,0,1,0,0,1,0,1,2,0,2,1,true,false,true,2,,,,,
o21475,1048,3502,12,0,1,0,2,0,1,1,1,0,2,1,1,1,true,false,true,2,,,,,
o9778,1077,3874,29,1,0,0,5,0,13,1,5,0,2,1,1,0,true,false,true,2,,,,,
o65711,1082,3819,14,0,0,1,1,0,0,1,1,0,3,0,1,3,true,false,true,2,,,,,
o46358,1093,1327,7,0,1,0,1,0,1,1,0,0,0,1,2,0,true,false,true,2,,,,,
o9963,1097,3836,13,0,0,0,2,0,1,2,1,1,3,1,1,0,true,false,true,2,,,,,
o36788,1104,5071,16,0,0,1,2,0,0,1,5,0,1,0,2,0,true,false,true,2,,,,,
o65512,1124,3276,43,0,0,26,9,0,1,1,1,0,2,0,1,0,true,false,true,2,,,,,
o91581,1138,1134,4,0,1,0,0,0,1,0,0,0,0,0,0,0,true,false,true,2,,,,,
o67600,1141,882,6,1,0,0,0,0,1,0,0,0,1,1,1,0,true,false,true,2,,,,,
o67648,1142,882,5,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o91584,1147,2070,8,0,1,1,0,0,0,0,0,1,0,0,2,0,true,false,true,2,,,,,
o21481,1164,3809,20,0,0,0,6,0,2,2,1,0,3,0,2,1,true,false,true,2,,,,,
o88583,1195,5301,11,0,0,0,1,0,1,1,2,0,2,0,1,0,true,false,true,2,,,,,
o9826,1198,4808,13,0,0,0,3,0,1,1,2,1,1,1,2,0,true,false,true,2,,,,,
o6022,1200,5025,14,1,0,0,2,0,0,2,1,0,2,1,1,1,true,false,true,2,,,,,
o90249,1213,5239,12,0,0,0,2,0,0,1,2,1,1,0,1,1,true,false,true,2,,,,,
o74185,1231,3564,7,1,0,1,1,0,0,0,1,1,0,0,0,0,true,false,true,2,,,,,
o9801,1236,3567,22,0,0,0,9,0,1,1,1,0,7,1,1,1,true,false,true,2,,,,,
o9783,1250,7477,3380,0,0,0,15,0,3116,2,241,0,2,0,2,0,true,false,true,2,,,,,
o58632,1269,3536,6,0,0,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o9839,1285,4814,29,0,0,0,11,0,3,1,2,0,7,1,2,1,true,false,true,2,,,,,
o89985,1287,1075,4,0,0,0,0,0,1,0,0,0,0,0,0,1,true,false,true,2,,,,,
o36270,1299,397,2,0,0,0,0,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
o21864,1335,2682,9,0,1,0,1,0,0,1,0,1,3,0,1,1,true,false,true,2,,,,,
o51159,1353,5401,10,0,0,0,2,0,0,1,2,0,3,0,1,0,true,false,true,2,,,,,
o76464,1362,4224,14,0,0,0,3,0,1,1,0,0,3,1,2,1,true,false,true,2,,,,,
o42021,1363,7586,15,1,0,0,1,0,1,1,2,0,4,1,1,1,true,false,true,2,,,,,
o89988,1371,3158,7,0,0,0,0,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
o9816,1373,2008,33,0,0,1,14,0,2,1,1,0,11,1,1,0,true,false,true,2,,,,,
o9774,1376,8024,7170,0,0,0,1453,0,3917,1,1794,1,1,1,1,0,true,false,true,2,,,,,
o46142,1386,1797,2,0,0,0,1,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o48873,1394,1011,3,0,0,0,1,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o53086,1402,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o9870,1428,6131,13231,0,0,0,4233,0,4356,1,4636,0,1,0,1,1,true,false,true,2,,,,,
o24951,1431,5730,56,0,1,0,3,0,29,1,9,0,3,1,2,3,true,false,true,2,,,,,
o65442,1443,2765,17,0,0,0,1,0,0,1,0,1,10,1,1,0,true,false,true,2,,,,,
o67463,1459,5629,16,0,0,1,2,0,1,2,3,0,1,0,1,1,true,false,true,2,,,,,
o89984,1482,812,5,1,0,0,0,0,0,1,0,0,2,0,1,0,true,false,true,2,,,,,
o10011,1490,6035,28,0,0,0,4,0,1,1,2,1,10,0,1,1,true,false,true,3,,,,,
o66278,1500,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o90314,1519,2784,8,0,0,0,1,0,1,1,0,0,2,0,1,1,true,false,true,2,,,,,
o89987,1523,2609,6,0,1,0,0,0,1,0,1,0,1,0,1,0,true,false,true,2,,,,,
o65510,1535,5376,16,0,0,1,3,0,3,1,2,1,1,0,1,1,true,false,true,2,,,,,
o65541,1542,2570,4,0,0,1,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o90216,1568,5814,16,0,0,2,2,0,1,0,2,0,3,0,2,1,true,false,true,2,,,,,
o68312,1583,4701,13,0,0,0,1,0,0,1,1,0,4,2,1,1,true,false,true,2,,,,,
o25419,1588,3495,10,0,0,0,2,0,1,1,0,1,2,1,1,1,true,false,true,2,,,,,
o27074,1589,5613,33,0,0,0,2,0,0,1,1,1,21,1,1,1,true,false,true,2,,,,,
o47922,1603,2425,22,0,0,0,9,0,1,1,0,1,4,0,1,1,true,false,true,2,,,,,
o9841,1611,6480,36,1,0,0,14,0,3,1,4,0,7,1,2,0,true,false,true,2,,,,,
o65459,1645,3655,14,0,0,0,2,0,1,1,2,0,4,0,1,0,true,false,true,2,,,,,
o42223,1661,3968,14,0,1,0,0,0,1,1,1,0,4,1,1,1,true,false,true,2,,,,,
o46220,1709,5434,11,0,0,0,3,0,1,1,1,0,1,0,1,0,true,false,true,2,,,,,
o66279,1713,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,true,false,true,2,,,,,
o90391,1719,4161,11,0,0,0,2,0,1,1,1,0,3,1,1,1,true,false,true,2,,,,,
o14485,1720,3023,7,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o17436,1723,2821,9,0,0,0,1,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
o67616,1724,2356,6,0,0,0,1,0,0,0,1,0,1,0,1,0,true,false,true,2,,,,,
o67661,1725,2356,6,0,1,0,0,0,1,0,1,0,2,0,0,0,true,false,true,2,,,,,
o10026,1730,6145,20,0,0,1,5,0,1,1,2,0,3,0,1,1,true,false,true,2,,,,,
o24463,1734,5117,14,0,0,0,1,0,1,1,1,0,3,2,1,1,true,false,true,2,,,,,
o68297,1787,2940,9,0,0,0,1,0,0,0,0,0,3,1,1,1,true,false,true,2,,,,,
o83258,1793,3830,8,0,1,0,1,0,0,1,0,1,2,0,0,0,true,false,true,2,,,,,
o58928,1801,5986,27,0,0,0,6,0,2,2,1,0,8,1,1,3,true,false,true,2,,,,,
o25804,1803,1828,9,0,1,0,1,0,1,1,0,0,2,0,1,1,true,false,true,2,,,,,
o9798,1809,11768,61,1,0,0,15,0,16,1,16,0,3,1,1,2,true,false,true,2,,,,,
o75096,1809,11973,33,0,0,0,1,0,0,1,4,1,16,0,1,2,true,false,true,3,,,,,
o10013,1820,8535,31,0,1,0,5,0,2,1,1,1,11,1,1,1,true,false,true,3,,,,,
o90072,1831,8168,28,0,0,0,8,0,1,1,10,0,3,1,2,0,true,false,true,2,,,,,
o3454,1840,4438,14,0,0,0,3,0,1,1,0,0,3,1,1,3,true,false,true,2,,,,,
o33939,1872,5305,12,0,0,0,1,0,0,2,0,0,3,0,2,2,true,false,true,2,,,,,
o75094,1896,9127,31,0,0,0,9,0,2,2,11,0,2,1,2,1,true,false,true,2,,,,,
o9784,1902,11433,3524,0,0,0,23,0,3168,1,318,1,5,1,2,0,true,false,true,2,,,,,
o83140,1917,6702,15,0,0,0,1,0,1,2,2,0,4,0,1,1,true,false,true,2,,,,,
o37097,1927,7718,20,0,0,0,4,0,0,2,3,0,3,0,2,2,true,false,true,2,,,,,
o72205,1955,4630,16,0,1,0,3,0,1,1,2,0,4,0,1,1,true,false,true,2,,,,,
o27840,1982,6109,28,0,0,1,12,0,1,1,1,1,3,0,1,1,true,false,true,2,,,,,
o39146,1992,6053,25,0,0,1,4,0,0,1,1,1,9,0,1,2,true,false,true,2,,,,,
o48095,2008,7280,23,1,0,0,1,0,0,1,1,0,5,1,2,4,true,false,true,2,,,,,
o44203,2077,4181,12,1,0,0,2,0,0,1,2,0,1,1,1,1,true,false,true,2,,,,,
o42217,2109,7668,13,0,0,1,1,0,0,1,2,0,1,0,2,0,true,false,true,2,,,,,
o64027,2114,8956,13,0,1,1,2,0,0,1,2,0,2,0,1,1,true,false,true,2,,,,,
o25733,2134,2514,6,0,0,0,1,0,0,0,1,0,1,1,1,1,true,false,true,2,,,,,
o83138,2143,7024,11,0,0,0,1,0,1,1,1,0,3,0,1,1,true,false,true,2,,,,,
o67599,2147,2526,7,0,0,0,1,0,0,1,0,1,3,0,0,1,true,false,true,2,,,,,
o60861,2163,4731,15,0,0,0,4,0,3,1,1,0,3,1,1,1,true,false,true,2,,,,,
o80803,2187,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o36264,2196,2671,52,0,0,17,25,0,1,0,0,0,8,1,0,0,true,false,true,2,,,,,
o90913,2200,8191,13,0,1,0,2,0,0,2,1,2,3,1,1,0,true,false,true,2,,,,,
o34759,2211,8186,23,0,0,0,4,0,3,2,2,1,6,1,2,0,true,false,true,2,,,,,
o37415,2218,4908,23,0,0,1,7,0,1,2,1,0,6,1,1,2,true,false,true,2,,,,,
o9775,2225,13366,8292,0,1,0,1611,0,4673,2,1997,0,3,1,2,0,true,false,true,2,,,,,
o9958,2253,13398,38,0,0,0,14,0,4,2,9,1,3,1,2,0,true,false,true,2,,,,,
o66606,2264,6709,14,1,0,0,3,0,1,1,1,1,2,0,1,1,true,false,true,2,,,,,
