objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o26950,1420,4472,555,39,405,5,16,0,3,19,1,2,4,2,20,1,true,false,true,2,,28062022_134442,0,1954a5778c6349c1a2283d9983b8a253996f73ed,pcattouche
o46176,2229,5292,161,0,2,62,20,0,6,7,3,4,9,2,27,0,true,false,true,2,,,,,
o88605,2478,6837,80,0,1,6,13,0,1,6,5,1,21,1,5,7,true,false,true,2,,,,,
o64859,2917,6850,67,0,0,1,3,0,2,5,3,0,26,2,4,8,true,false,true,2,,,,,
o74551,3257,15196,102,0,0,4,6,0,2,3,3,5,51,7,3,2,true,false,true,3,,,,,
o83760,3556,19173,66,0,1,3,8,0,1,5,5,3,12,2,6,3,true,false,true,2,,,,,
o51161,3583,19191,65,0,1,1,9,0,1,5,5,6,13,1,4,2,true,false,true,2,,,,,
o89003,3740,15376,43,0,1,2,3,0,1,3,3,4,10,2,9,0,true,false,true,2,,,,,
o37788,4050,10213,36,1,0,4,8,0,1,3,2,1,5,1,3,0,true,false,true,2,,,,,
o6226,4330,13563,51,0,0,1,7,0,1,5,7,1,10,2,4,4,true,false,true,2,,,,,
o83391,4929,29140,341,1,0,1,6,0,4,7,14,0,263,11,7,4,true,false,true,3,,,,,
o29021,4942,16672,49,0,0,1,1,0,1,4,2,3,13,7,3,3,true,false,true,2,,,,,
o71528,5023,22311,131,1,0,0,6,0,6,4,2,3,63,29,5,1,true,false,true,2,,,,,
o77340,5040,25585,78,1,0,2,12,0,1,7,10,5,13,2,4,3,true,false,true,2,,,,,
o67371,5049,25487,63,1,0,2,17,0,1,6,5,2,8,1,4,3,true,false,true,2,,,,,
o58481,5094,28466,88,0,1,0,22,0,3,10,4,2,26,2,4,4,true,false,true,2,,,,,
o37786,5242,17677,42,1,0,1,11,0,1,5,2,3,5,3,4,0,true,false,true,2,,,,,
o39150,5277,14194,34,0,1,0,1,0,1,4,3,1,9,2,4,1,true,false,true,2,,,,,
o44352,5333,14194,33,0,0,0,1,0,0,4,2,1,9,1,3,2,true,false,true,2,,,,,
o81108,5359,26011,54,0,0,1,10,0,1,4,4,3,14,2,3,1,true,false,true,2,,,,,
o27041,5374,50293,652,0,1,0,5,0,1,5,2,3,573,36,11,1,true,false,true,2,,,,,
o77735,5410,52056,340,0,0,1,4,0,2,3,2,3,292,12,8,1,true,false,true,2,,,,,
o25763,5454,28240,66,0,0,1,2,0,1,3,4,3,31,3,3,1,true,false,true,3,,,,,
o65917,5554,37522,78,0,0,1,5,0,2,4,8,2,30,7,4,3,true,false,true,2,,,,,
o65945,5628,69503,697324,0,0,1,1,0,1,2,2,3,697249,24,9,4,true,false,true,3,,,,,
o74598,5948,26525,40,1,0,0,4,0,1,3,8,1,7,2,3,2,true,false,false,2,,,,,
o37787,6041,18534,40,0,0,8,12,0,1,2,3,3,5,1,2,0,true,false,true,2,,,,,
o78021,6146,24461,105,0,1,0,2,0,2,3,1,1,76,9,2,1,true,false,true,2,,,,,
o4354,6212,27946,48,0,0,1,8,0,1,4,8,0,8,2,2,3,true,false,true,2,,,,,
o64819,6251,25464,29,0,0,0,2,0,1,2,2,2,6,1,2,2,true,false,true,2,,,,,
o5889,6561,14025,26,0,0,0,2,0,1,4,4,0,5,2,2,1,true,false,true,2,,,,,
o75099,6792,25466,51,0,0,1,2,0,0,2,3,1,24,2,2,1,true,false,true,3,,,,,
o11666,6874,118034,1388,1,0,0,6,0,1,3,9,2,1243,79,10,3,true,false,true,3,,,,,
o69586,6949,29007,55,0,0,0,4,0,5,3,1,2,23,5,2,3,true,false,true,2,,,,,
o48256,6971,58372,345,0,0,0,7,0,4,5,2,3,271,31,10,1,true,false,true,2,,,,,
o19336,6979,65706,395,0,0,1,4,0,4,4,2,2,351,6,8,1,true,false,true,2,,,,,
o12174,6982,116754,1339,1,0,0,6,0,2,3,8,3,1190,74,10,4,true,false,true,3,,,,,
o44959,7574,61814,275,1,0,1,5,0,1,3,3,4,208,14,3,1,true,false,true,5,,,,,
o28277,7847,23453,34,0,0,0,2,0,1,2,2,1,14,2,3,2,true,false,true,2,,,,,
o90912,7902,29890,45,1,0,1,8,0,1,3,4,2,8,3,3,3,true,false,true,2,,,,,
o37649,8066,102721,880,0,0,0,4,0,1,3,2,5,776,64,9,1,true,false,true,2,,,,,
o41072,8143,25838,31,1,0,0,2,0,0,1,3,2,11,1,2,0,true,false,true,2,,,,,
o72196,8365,16390,83,0,0,0,14,0,1,2,2,0,52,2,1,1,true,false,true,3,,,,,
o47675,8445,38491,53,0,1,0,6,0,2,5,8,2,10,3,3,1,true,false,true,2,,,,,
o10293,8584,53155,92,0,0,1,22,0,6,7,9,2,23,4,2,1,true,false,true,2,,,,,
o82273,8600,33558,46,0,1,2,5,0,1,4,3,2,15,2,3,1,true,false,true,2,,,,,
o10296,8852,54840,97,0,0,1,24,0,7,7,9,2,24,6,1,1,true,false,true,2,,,,,
o3626,8883,12527,20,0,0,1,0,0,0,1,1,1,9,1,0,1,true,false,true,2,,,,,
o90939,8884,25020,64,0,1,0,4,0,1,3,2,1,43,1,2,0,true,false,true,2,,,,,
o72203,9119,32161,272,0,0,0,5,0,1,3,6,1,228,13,2,1,true,false,true,3,,,,,
o3925,9191,30832,66,0,1,0,13,0,2,5,7,0,24,2,3,1,true,false,true,2,,,,,
o91151,9262,63570,496,1,0,0,3,0,2,2,2,2,421,44,7,1,true,false,true,2,,,,,
o46658,9846,24184,64,0,0,8,30,0,5,2,1,1,5,1,2,1,true,false,true,2,,,,,
o62056,9903,60551,271,0,1,0,111,0,19,13,65,1,25,13,5,3,true,false,true,2,,,,,
