objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o41680,443,429,541,30,396,8,19,0,1,7,0,1,9,0,26,6,false,true,,2,,28062022_175140,0,1954a5778c6349c1a2283d9983b8a253996f73ed,pcattouche
o79021,482,1103,36,1,1,1,4,0,2,9,2,0,0,1,1,0,false,true,,3,,,,,
o25977,515,865,19,1,0,0,2,0,1,2,0,0,5,0,1,1,false,true,,2,,,,,
o4845,528,1063,51,1,0,0,1,0,1,2,1,1,3,0,37,1,false,true,,2,,,,,
o25972,591,865,11,0,0,0,1,0,0,2,0,0,3,1,2,0,false,true,,2,,,,,
o17671,642,964,11,0,0,0,2,0,0,1,0,1,2,0,1,1,false,true,,2,,,,,
o41681,716,805,9,0,0,0,1,0,0,1,0,0,2,1,1,1,false,true,,2,,,,,
o48761,737,10065,68,1,0,1,10,0,5,14,8,2,1,5,0,0,false,true,,3,,,,,
o49200,839,1504,24,0,0,8,6,0,0,1,0,0,2,1,2,1,false,true,,2,,,,,
o25944,958,3097,43,0,1,1,2,0,1,2,1,2,6,0,16,6,false,true,,2,,,,,
o14417,997,3590,13,0,1,0,2,0,0,2,1,1,1,0,1,0,false,true,,2,,,,,
o76762,1036,4291,33,0,0,0,5,0,3,3,3,0,6,0,6,0,false,true,,2,,,,,
o17612,1123,3316,21,0,0,1,1,0,1,1,1,0,5,1,2,3,false,true,,2,,,,,
o46496,1143,2734,24,0,0,0,7,0,1,2,2,1,4,1,3,0,false,true,,2,,,,,
o20475,1228,2041,22,0,0,0,7,0,2,2,1,1,4,1,2,0,false,true,,2,,,,,
o14411,1272,4326,19,0,0,0,1,0,3,3,1,2,2,1,1,1,false,true,,2,,,,,
o48872,1389,5662,42,0,2,1,10,0,1,2,3,1,8,2,2,1,false,true,,3,,,,,
o14416,1430,6138,16,0,0,0,2,0,2,3,3,1,1,0,0,1,false,true,,2,,,,,
o77700,1523,7391,480,0,0,3,38,0,188,3,26,0,173,0,2,44,false,true,,2,,,,,
o14413,1524,5187,16,0,0,0,4,0,0,1,1,0,2,0,1,4,false,true,,2,,,,,
o14410,1734,5874,27,0,0,0,9,0,3,3,2,1,2,0,1,1,false,true,,2,,,,,
o17682,1900,2945,14,0,0,0,1,0,1,1,0,0,6,1,1,1,false,true,,2,,,,,
o17645,1949,4359,14,0,0,0,1,0,1,1,0,1,5,1,1,1,false,true,,2,,,,,
o14414,2185,10435,25,0,0,0,3,0,1,3,5,1,2,1,1,0,false,true,,2,,,,,
o17644,2189,4872,17,0,0,0,1,0,0,1,0,0,6,0,1,1,false,true,,2,,,,,
o89539,2196,24145,229,0,0,3,6,0,1,3,5,1,180,13,2,0,false,true,,3,,,,,
o20523,2243,5772,36,1,0,0,9,0,9,2,4,0,5,0,2,0,false,true,,2,,,,,
o14422,2745,12263,24,1,0,0,3,0,1,4,4,1,3,1,1,1,false,true,,2,,,,,
o14424,2804,12608,28,0,1,0,6,0,2,4,4,1,2,1,1,1,false,true,,2,,,,,
o14427,3069,13374,25,1,0,0,3,0,1,3,3,2,2,3,1,1,false,true,,2,,,,,
o14420,3141,15422,29,0,0,1,7,0,2,4,5,0,2,2,1,0,false,true,,2,,,,,
o81598,3627,25658,84,1,0,0,15,0,2,7,21,1,9,4,8,3,false,true,,2,,,,,
o84356,3946,12362,56,0,0,1,5,0,9,3,7,1,18,2,3,2,false,true,,3,,,,,
o20492,5297,7876,43,0,1,0,14,0,6,2,1,0,11,1,1,1,false,true,,2,,,,,
o33859,7325,26185,69,0,0,1,15,0,2,8,8,1,15,2,3,1,false,true,,2,,,,,
o14415,7571,27203,61,0,0,1,19,0,4,8,8,2,1,6,1,0,false,true,,2,,,,,
o59998,7828,27286,75,0,1,1,20,0,6,4,7,3,13,3,3,1,false,true,,2,,,,,
o64541,11034,45272,205,1,0,1,53,0,9,13,76,2,16,5,9,1,false,true,,2,,,,,
o75286,16338,79557,267,0,1,2,48,0,12,21,30,4,89,11,8,1,false,true,,2,,,,,
o13132,22645,30178,118,0,1,1,20,0,6,7,11,1,39,3,5,6,false,true,,3,,,,,
