objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o27825,25,166,422,26,315,4,15,0,0,5,1,1,1,0,11,2,true,false,true,2,,14062022_104650,0,1309f5802593d673c53c7730e652ea21f5e98596,pcattouche
o67205,43,266,20,1,0,1,3,0,0,2,0,1,0,1,8,0,true,false,true,2,,,,,
o27841,43,266,5,0,0,0,1,0,0,0,0,0,0,1,1,0,true,false,true,2,,,,,
o89637,60,348,5,0,0,0,1,0,0,1,0,0,0,1,1,0,true,false,true,2,,,,,
o27830,61,391,6,1,0,0,0,0,1,1,0,1,1,0,0,0,true,false,true,2,,,,,
o35505,66,166,61,0,0,0,1,0,0,0,0,0,44,0,9,6,true,false,true,2,,,,,
o70252,77,64,3,0,0,0,0,0,1,0,0,0,0,0,1,1,true,false,true,2,,,,,
o31117,81,166,3,0,0,0,0,0,0,1,0,0,1,0,0,1,true,false,true,2,,,,,
o28265,88,166,3,0,0,0,1,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o24891,89,166,4,0,1,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o27834,96,649,17,1,0,0,7,1,0,2,0,0,1,0,2,1,true,false,true,2,,,,,
o67689,100,166,3,0,0,1,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o63996,105,166,2,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o19978,106,166,2,0,0,0,0,0,0,1,0,1,0,0,0,0,true,false,true,2,,,,,
o9292,109,632,36,0,1,1,4,0,5,1,2,1,1,0,12,1,true,false,true,2,,,,,
o44862,109,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o25175,112,166,3,0,0,1,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o48514,115,433,4,0,0,0,1,0,0,1,0,0,0,1,1,0,true,false,true,2,,,,,
o34210,121,309,13,0,1,6,2,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o63500,124,266,3,0,0,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o34208,130,371,29,0,1,9,16,0,1,1,0,0,0,0,1,0,true,false,true,2,,,,,
o45630,130,433,4,0,0,0,0,0,0,0,0,1,0,0,1,0,true,false,true,2,,,,,
o13839,131,478,5,0,1,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o41627,132,266,2,0,0,0,0,0,0,0,0,0,0,1,0,0,true,false,true,2,,,,,
o41637,132,266,3,0,0,0,1,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o63326,139,166,3,1,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o83694,139,64,2,0,0,0,1,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o79447,139,242,7,0,0,0,1,0,1,0,0,0,2,0,2,1,true,false,true,2,,,,,
o9908,141,232,19,0,1,0,4,0,1,0,0,0,10,2,0,0,true,false,true,2,,,,,
o25177,144,442,5,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o41673,144,169,2,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o48762,147,816,7,1,0,0,2,0,0,1,0,1,0,0,1,0,true,false,true,2,,,,,
o63994,147,433,3,0,0,0,1,0,0,0,0,1,0,0,1,0,true,false,true,2,,,,,
o71844,148,207,3,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o36645,149,845,6,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o44993,152,504,14,0,1,0,0,0,0,1,0,0,2,0,2,6,true,false,true,2,,,,,
o45229,155,281,4,1,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o70564,160,211,3,0,0,0,1,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o25183,165,715,5,0,0,0,1,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
o44456,167,166,2,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o76869,167,489,4,0,1,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o10082,169,799,5,0,0,0,0,0,0,0,1,0,1,1,1,0,true,false,true,2,,,,,
o41609,170,362,11,0,0,5,5,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o25189,170,825,9,0,1,0,0,0,1,0,1,0,2,0,2,0,true,false,true,2,,,,,
o25192,170,823,6,1,0,0,0,0,1,0,1,0,1,0,1,0,true,false,true,2,,,,,
o41665,173,238,2,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o82286,173,771,5,1,0,0,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o25195,173,886,5,0,1,0,0,0,0,1,0,1,0,1,1,0,true,false,true,2,,,,,
o41669,173,237,2,0,0,0,1,0,0,0,1,0,0,0,0,0,true,false,true,2,,,,,
o89088,173,495,3,0,0,0,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o25942,174,391,4,1,0,0,0,0,0,1,0,1,0,0,0,0,true,false,true,2,,,,,
o90933,176,558,6,0,0,0,0,0,0,0,0,0,2,0,1,0,true,false,true,2,,,,,
o80334,176,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o47168,176,442,3,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o34211,176,640,4,0,0,0,1,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o25159,178,486,4,0,1,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o77414,178,268,3,0,0,1,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o69753,180,166,2,0,1,0,0,0,0,0,0,0,0,1,0,0,true,false,true,2,,,,,
o10525,183,367,5,0,0,1,3,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o75593,184,196,2,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o41671,184,253,3,0,0,1,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o45213,185,478,4,0,0,1,0,0,1,0,1,0,0,0,1,0,true,false,true,2,,,,,
o41604,186,401,3,1,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o67198,187,918,8,1,0,0,0,0,0,1,0,1,1,0,1,2,true,false,true,2,,,,,
o17123,191,433,3,0,0,1,0,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o44006,193,242,3,0,0,0,0,0,0,0,0,1,0,0,0,1,true,false,true,2,,,,,
o78729,193,771,4,0,0,0,1,0,0,1,0,1,0,0,0,0,true,false,true,2,,,,,
o9972,194,795,4,0,0,1,0,0,0,1,0,1,0,0,1,0,true,false,true,2,,,,,
o81745,195,745,5,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o70292,195,368,4,0,0,0,2,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o88603,202,340,4,0,0,1,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o45634,202,433,2,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o41662,202,370,3,0,0,0,1,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o70327,203,773,6,0,0,0,1,0,0,1,0,1,1,1,1,0,true,false,true,2,,,,,
o25166,203,486,3,0,0,0,0,0,0,1,0,0,0,1,0,1,true,false,true,2,,,,,
o10021,206,954,5,0,0,0,1,0,0,0,1,0,1,0,0,0,true,false,true,2,,,,,
o25982,208,286,4,0,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o71845,209,591,4,0,0,1,1,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o17657,210,463,5,0,0,1,2,0,0,0,0,1,0,0,0,1,true,false,true,2,,,,,
o45633,211,166,2,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o34209,211,166,1,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o41667,212,273,2,0,1,0,0,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o41664,212,273,2,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o53538,212,177,1,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o67212,213,344,27,0,0,9,15,0,1,0,0,0,0,0,0,1,true,false,true,2,,,,,
o89645,213,700,3,0,0,0,1,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o58635,213,166,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o55684,217,592,3,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o58640,219,483,2,0,0,0,0,0,0,0,0,1,0,0,1,0,true,false,true,2,,,,,
o79654,219,878,5,0,0,1,0,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o60109,219,433,2,0,0,0,0,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o89151,220,370,2,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o77740,221,621,4,0,0,0,0,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
o67193,221,1361,4,0,0,0,0,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
o89680,221,640,3,0,0,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o41653,222,179,3,0,2,0,0,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o21079,223,735,8,1,0,0,0,0,0,0,0,0,4,1,1,0,true,false,true,2,,,,,
o70294,223,468,5,0,0,2,2,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o4366,223,531,3,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o17125,224,433,2,0,0,0,0,0,0,0,0,0,0,1,0,0,true,false,true,2,,,,,
o2060,224,166,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o57711,224,442,2,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o89152,226,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o24503,227,1989,11,0,0,0,3,0,1,2,0,0,1,1,3,0,true,false,true,2,,,,,
o56764,227,166,2,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o17675,228,872,5,0,0,0,0,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o12256,229,679,5,0,0,0,2,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o46560,229,177,2,0,1,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o13272,229,829,5,0,0,0,1,0,1,0,1,0,0,0,1,0,true,false,true,2,,,,,
o20469,233,242,2,0,0,0,1,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o19363,234,767,4,0,0,0,0,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o10089,235,780,5,0,0,0,2,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o41773,236,267,1,0,0,0,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o9790,237,977,47639,0,0,0,1,0,46238,1,1397,0,0,0,1,0,true,false,true,2,,,,,
o66685,237,1024,4,0,0,0,1,0,0,0,1,0,0,1,0,0,true,false,true,2,,,,,
o73935,238,614,12,0,8,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o24474,238,433,2,0,0,0,0,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
o89135,239,305,2,0,0,1,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o82288,240,196,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o6021,241,1398,5,0,0,0,1,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
o83710,242,433,2,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o45635,243,577,3,0,1,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o76651,243,1931,8,1,0,0,1,0,0,1,1,0,2,0,1,1,true,false,true,2,,,,,
o27832,249,1072,5,1,0,0,0,0,1,0,0,1,0,0,0,1,true,false,true,2,,,,,
o41655,249,549,2,0,0,0,1,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o9273,252,706,4,1,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o68330,253,166,1,0,0,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o69512,254,1439,4,0,0,0,1,0,0,0,1,0,1,0,1,0,true,false,true,2,,,,,
o82284,255,1202,6,1,0,0,1,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
o48164,255,315,17,0,0,0,14,0,2,0,0,0,0,0,0,0,true,false,true,2,,,,,
o78127,255,512,2,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o25193,258,1378,4,0,0,0,1,0,1,0,0,0,0,0,1,0,true,false,true,2,,,,,
o25190,258,1380,4,0,0,0,1,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o6269,259,1299,21,0,0,0,2,0,1,1,15,0,1,0,1,0,true,false,true,2,,,,,
o88607,259,468,5,0,0,3,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o27031,260,412,3,0,0,1,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o21731,261,193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o73407,263,706,3,0,0,0,0,0,0,0,1,0,1,0,0,1,true,false,true,2,,,,,
o72209,265,215,1,0,0,0,0,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o25196,266,1390,3,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o25200,267,673,2,0,0,0,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o91001,267,908,3,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o69314,267,1214,4,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o79439,267,785,4,0,0,0,1,0,1,0,0,0,1,0,1,0,true,false,true,2,,,,,
o84174,268,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o55101,268,1085,4,0,0,0,1,0,0,0,0,0,0,1,0,1,true,false,true,2,,,,,
o65482,268,798,2,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o76868,268,1285,14,0,0,0,0,0,0,1,11,0,0,0,0,0,true,false,true,2,,,,,
o48167,268,370,13,0,0,0,6,0,0,1,0,0,0,0,0,6,true,false,true,2,,,,,
o27032,271,412,3,0,0,1,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o69507,272,1401,3,0,0,0,0,0,1,0,1,0,0,0,0,0,true,false,true,2,,,,,
o41593,272,594,1,0,0,0,0,0,0,0,1,0,0,0,0,0,true,false,true,2,,,,,
o63987,273,619,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o77428,273,166,1,0,0,0,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o28266,273,1161,5,0,0,0,2,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o44010,274,969,6,0,0,0,0,0,3,0,1,0,1,0,1,0,true,false,true,2,,,,,
o9941,274,1249,4,0,0,1,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o23153,275,595,5,1,1,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o64893,275,981,24,0,0,0,1,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
o12240,275,1064,5,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
o83308,277,166,2,1,0,0,0,0,0,0,0,0,0,0,0,1,true,false,true,2,,,,,
o41668,277,398,1,0,0,0,0,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o89941,278,516,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o78117,278,537,62,0,0,0,60,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o74178,280,177,1,0,0,0,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o79494,281,368,2,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o67196,282,1696,20,0,0,0,1,0,0,1,15,0,1,0,1,1,true,false,true,2,,,,,
o41082,284,179,1,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o90448,284,1009,4,0,1,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o10018,286,1300,5,1,0,0,1,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o76899,286,1008,2,0,0,0,0,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o67374,287,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o90567,288,673,2,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o42981,288,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o90442,289,1169,4,0,0,0,0,0,0,1,0,0,1,1,0,1,true,false,true,2,,,,,
o78398,290,1162,2,0,0,0,0,0,0,0,1,0,0,0,0,0,true,false,true,2,,,,,
o70325,290,1450,5,0,0,0,1,0,0,0,1,0,2,0,1,0,true,false,true,2,,,,,
