objectId,witness
sp_208_Normalized,123
sp_207_Normalized,123
sp_206_Normalized,123
sp_69_Normalized,{}
sp_70_Normalized,{}
sp_228_Normalized,{}
sp_229_Normalized,{}
sp_234_Normalized,{}
sp_231_Normalized,{}
sp_239_Normalized,{}
sp_74_Normalized,{}
sp_218_Normalized,{}
sp_214_Normalized,123
sp_237_Normalized,{}
sp_240_Normalized,{}
sp_147_Normalized,"{""id"":""""}"
sp_270_Normalized,{}
sp_176_Normalized,{}
sp_238_Normalized,{}
sp_233_Normalized,{}
sp_271_Normalized,"{""all"":true}"
sp_382_Normalized,123
sp_141_Normalized,"{""name"":""""}"
sp_48_Normalized,{}
sp_174_Normalized,{}
sp_315_Normalized,"{""id"":""""}"
sp_260_Normalized,{}
sp_256_Normalized,{}
sp_171_Normalized,{}
sp_278_Normalized,"{""originalEventId"":""""}"
sp_60_Normalized,"{""screenName"":""""}"
sp_325_Normalized,"{""uri"":""""}"
sp_327_Normalized,"{""id"":""00000000-0000-0000-0000-000000000000""}"
sp_78_Normalized,{}
sp_86_Normalized,{}
sp_89_Normalized,"{""search_term"":""""}"
sp_146_Normalized,"{""name"":""""}"
sp_85_Normalized,{}
sp_92_Normalized,{}
sp_405_Normalized,"{""ampPageViewId"":""""}"
sp_301_Normalized,"{""parentEventId"":""""}"
sp_59_Normalized,{}
sp_414_Normalized,"{""name"":"""",""value"":""""}"
sp_71_Normalized,{}
sp_148_Normalized,"{""action"":"""",""network"":""""}"
sp_40_Normalized,{}
sp_159_Normalized,{}
sp_158_Normalized,{}
sp_164_Normalized,"{""browserid"":"""",""deviceid"":""""}"
sp_67_Normalized,{}
sp_324_Normalized,"{""schema"":""iglu:-/-/-/0-0-0"",""data"":123}"
sp_318_Normalized,"{""action"":"""",""network"":""""}"
sp_42_Normalized,{}
sp_248_Normalized,"{""schema"":""iglu:-/-/-/0-0-0"",""data"":123}"
sp_262_Normalized,"{""line"":"""",""errors"":[""""]}"
sp_165_Normalized,"{""optout"":""true"",""encryptedId"":""""}"
sp_216_Normalized,"{""recordId"":""""}"
sp_44_Normalized,{}
sp_413_Normalized,"{""name"":"""",""value"":""""}"
sp_41_Normalized,{}
sp_39_Normalized,{}
sp_57_Normalized,{}
sp_166_Normalized,{}
sp_320_Normalized,"{""timing"":0,""variable"":"""",""category"":""""}"
sp_167_Normalized,{}
sp_273_Normalized,[]
sp_282_Normalized,[]
sp_11_Normalized,"{""jsonpaths"":[""""]}"
sp_168_Normalized,{}
sp_272_Normalized,"[{""schema"":""iglu:-/-/-/0-0-0"",""data"":123}]"
sp_380_Normalized,"{""shreddedTypes"":[]}"
sp_161_Normalized,{}
sp_33_Normalized,{}
sp_28_Normalized,{}
sp_321_Normalized,"{""vendor"":"""",""name"":"""",""enabled"":false}"
sp_290_Normalized,{}
sp_326_Normalized,"{""vendor"":"""",""name"":"""",""enabled"":true}"
sp_297_Normalized,"{""type"":""""}"
sp_242_Normalized,{}
sp_156_Normalized,{}
sp_294_Normalized,"{""targetUrl"":""\u0000""}"
sp_62_Normalized,"{""action"":"""",""network"":""""}"
sp_247_Normalized,"{""schema"":"""",""data"":123}"
sp_46_Normalized,{}
sp_250_Normalized,"{""quantity"":0,""sku"":""""}"
sp_53_Normalized,{}
sp_269_Normalized,"{""id"":"""",""version"":""""}"
sp_221_Normalized,"{""url"":""""}"
sp_83_Normalized,{}
sp_268_Normalized,123
sp_314_Normalized,"{""quantity"":0,""sku"":""""}"
sp_52_Normalized,{}
sp_30_Normalized,{}
sp_220_Normalized,"{""url"":""""}"
sp_90_Normalized,{}
sp_295_Normalized,"{""targetUrl"":""\u0000""}"
sp_175_Normalized,{}
sp_217_Normalized,"{""build"":"""",""version"":""""}"
sp_37_Normalized,{}
sp_355_Normalized,"{""vendor"":"""",""name"":"""",""enabled"":true}"
sp_61_Normalized,{}
sp_84_Normalized,{}
sp_227_Normalized,"{""name"":"""",""version"":""""}"
sp_43_Normalized,"{""action"":"""",""category"":""""}"
sp_276_Normalized,"{""osVersion"":"""",""osType"":""""}"
sp_31_Normalized,{}
sp_56_Normalized,{}
sp_219_Normalized,"{""isVisible"":true}"
sp_55_Normalized,{}
sp_186_Normalized,{}
sp_316_Normalized,"{""schema"":""iglu:-/-/-/*-*-*"",""location"":""UNSTRUCT_EVENT""}"
sp_196_Normalized,{}
sp_198_Normalized,{}
sp_32_Normalized,{}
sp_38_Normalized,{}
sp_58_Normalized,{}
sp_293_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""script"":""""},""enabled"":false}"
sp_140_Normalized,"{""transitionType"":""""}"
sp_322_Normalized,"{""vendor"":"""",""name"":"""",""enabled"":true}"
sp_349_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""headersPattern"":""""},""enabled"":true}"
sp_109_Normalized,{}
sp_403_Normalized,"{""ampClientId"":""""}"
sp_49_Normalized,{}
sp_358_Normalized,"{""secretAccessKey"":"""",""accessKeyId"":"""",""awsRegion"":"""",""purpose"":""DUPLICATE_TRACKING"",""name"":"""",""dynamodbTable"":""""}"
sp_29_Normalized,{}
sp_288_Normalized,"{""latitude"":-84.97570972981862,""longitude"":-176.45492985458657}"
sp_110_Normalized,{}
sp_91_Normalized,{}
sp_254_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""anonOctets"":1.999760215051893},""enabled"":false}"
sp_26_Normalized,{}
sp_317_Normalized,"{""terms"":[""""]}"
sp_160_Normalized,{}
sp_155_Normalized,{}
sp_241_Normalized,{}
sp_51_Normalized,{}
sp_274_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""cookies"":[]},""enabled"":true}"
sp_150_Normalized,"{""name"":""""}"
sp_45_Normalized,"{""protocolVersion"":"""",""trackingId"":""""}"
sp_312_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""internalDomains"":[]},""enabled"":false}"
sp_356_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""mappings"":{}}}"
sp_362_Normalized,"{""nodesWanOnly"":false,""purpose"":""FAILED_EVENTS"",""port"":1,""host"":"""",""name"":"""",""index"":"""",""type"":""""}"
sp_97_Normalized,"{""roomIdOrName"":""\u0000"",""message"":""\u0000""}"
sp_359_Normalized,"{""accessKeyId"":"""",""secretAccessKey"":"""",""awsRegion"":"""",""purpose"":""DUPLICATE_TRACKING"",""name"":"""",""dynamodbTable"":""""}"
sp_253_Normalized,"{""costModel"":""cpa""}"
sp_298_Normalized,"{""osVersion"":"""",""osType"":"""",""deviceModel"":"""",""deviceManufacturer"":""""}"
sp_381_Normalized,{}
sp_144_Normalized,{}
sp_145_Normalized,"{""name"":""""}"
sp_252_Normalized,"{""costModel"":""cpa""}"
sp_363_Normalized,"{""nodesWanOnly"":true,""purpose"":""FAILED_EVENTS"",""port"":1,""host"":"""",""name"":"""",""index"":"""",""type"":""""}"
sp_251_Normalized,"{""targetUrl"":""\u0000""}"
sp_108_Normalized,{}
sp_190_Normalized,{}
sp_188_Normalized,{}
sp_154_Normalized,{}
sp_149_Normalized,"{""name"":"""",""sku"":""""}"
sp_232_Normalized,"{""name"":"""",""state"":""PENDING""}"
sp_266_Normalized,"{""sessionIndex"":0,""storageMechanism"":""SQLITE"",""sessionId"":"""",""previousSessionId"":"""",""userId"":""0000000000000000""}"
sp_283_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""excludeParameters"":[],""hashAlgorithm"":""MD5""},""enabled"":true}"
sp_35_Normalized,{}
sp_277_Normalized,"{""message"":""""}"
sp_399_Normalized,{}
sp_255_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""anonOctets"":1.328131358929495},""enabled"":true}"
sp_313_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""internalDomains"":[],""database"":"""",""uri"":""""},""enabled"":true}"
sp_47_Normalized,"{""name"":"""",""transactionId"":""""}"
sp_407_Normalized,"{""org_id"":-2147483648,""created_at"":"""",""action"":"""",""object_id"":0}"
sp_299_Normalized,"{""osVersion"":"""",""osType"":"""",""deviceModel"":"""",""deviceManufacturer"":""""}"
sp_34_Normalized,{}
sp_386_Normalized,{}
sp_246_Normalized,"{""execution"":{""timeToLive"":0,""semantics"":""AT_LEAST_ONCE""},""whenCreated"":"""",""commandId"":"""",""tags"":{}}"
sp_392_Normalized,{}
sp_72_Normalized,{}
sp_66_Normalized,"{""id"":""""}"
sp_230_Normalized,"{""name"":"""",""created_at"":"""",""state"":""STARTING"",""jobflow_id"":""""}"
sp_364_Normalized,"{""schema"":"""",""database"":"""",""password"":"""",""port"":1,""purpose"":""ENRICHED_EVENTS"",""host"":"""",""name"":"""",""sslMode"":""DISABLE"",""username"":""""}"
sp_284_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""hashAlgorithm"":""MD5"",""excludeParameters"":[]},""enabled"":true}"
sp_289_Normalized,"{""latitude"":-82.80739961542048,""longitude"":-128.40514060690055}"
sp_22_Normalized,{}
sp_63_Normalized,{}
sp_36_Normalized,{}
sp_68_Normalized,"{""image"":"""",""hostname"":"""",""zone"":"""",""name"":"""",""cpuPlatform"":"""",""attributes"":{},""id"":"""",""machineType"":"""",""tags"":[]}"
sp_173_Normalized,{}
sp_365_Normalized,"{""schema"":"""",""database"":"""",""password"":"""",""port"":1,""purpose"":""ENRICHED_EVENTS"",""host"":"""",""name"":"""",""username"":"""",""sslMode"":""DISABLE""}"
sp_225_Normalized,"{""name"":"""",""id"":""""}"
sp_287_Normalized,"{""basisForProcessing"":""consent""}"
sp_194_Normalized,{}
sp_192_Normalized,{}
sp_224_Normalized,"{""name"":"""",""id"":""""}"
sp_215_Normalized,"{""schemas"":[]}"
sp_416_Normalized,"{""genre"":""""}"
sp_275_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""apiKey"":"""",""rateAt"":""EOD_PRIOR"",""accountType"":""DEVELOPER"",""baseCurrency"":""""},""enabled"":true}"
sp_151_Normalized,"{""name"":""""}"
sp_285_Normalized,"{""hasLocalStorage"":false,""hasScriptAccess"":false,""isDebugger"":false,""playerType"":""ActiveX"",""version"":""""}"
sp_384_Normalized,{}
sp_354_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""cacheSize"":1,""apiKey"":"""",""apiHost"":"""",""geoPrecision"":1,""timeout"":1},""enabled"":false}"
sp_404_Normalized,{}
sp_180_Normalized,{}
sp_139_Normalized,{}
sp_396_Normalized,{}
sp_394_Normalized,{}
sp_383_Normalized,{}
