"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"sp_208_Normalized",234,64,686,42,559,4,16,0,0,0,0,1,7,0,23,2,"true","false","true",2,NA,"14062022_071754",0,"1309f5802593d673c53c7730e652ea21f5e98596","pcattouche"
"sp_207_Normalized",234,64,5,0,0,0,1,0,0,0,0,1,0,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_206_Normalized",234,64,5,0,0,0,1,0,0,0,0,0,1,0,2,1,"true","false","true",2,NA,"",NA,"",""
"sp_69_Normalized",275,242,138,0,2,1,75,0,10,3,0,2,5,0,16,7,"true","false","true",2,NA,"",NA,"",""
"sp_70_Normalized",279,242,11,1,0,0,2,0,1,1,0,1,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_228_Normalized",285,242,11,1,0,0,2,0,1,1,0,0,0,1,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_229_Normalized",287,242,9,0,0,0,2,0,1,1,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_234_Normalized",289,242,9,0,0,0,1,0,0,1,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_231_Normalized",291,242,9,0,0,0,2,0,1,1,1,1,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_239_Normalized",296,242,8,0,0,0,2,0,1,1,0,0,1,0,0,0,"true","false","true",2,NA,"",NA,"",""
"sp_74_Normalized",307,242,8,1,0,0,1,0,0,0,0,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"sp_218_Normalized",333,242,8,1,0,0,1,0,0,0,0,0,1,0,0,0,"true","false","true",2,NA,"",NA,"",""
"sp_214_Normalized",369,64,3,0,1,0,0,0,0,0,0,0,0,0,0,1,"true","false","true",2,NA,"",NA,"",""
"sp_237_Normalized",371,652,29,0,0,0,3,0,0,1,3,0,3,1,11,1,"true","false","true",2,NA,"",NA,"",""
"sp_240_Normalized",378,648,14,0,0,0,3,0,1,1,0,0,2,0,2,1,"true","false","true",2,NA,"",NA,"",""
"sp_147_Normalized",387,726,36,1,1,0,2,0,1,2,1,1,3,1,3,19,"true","false","true",2,NA,"",NA,"",""
"sp_270_Normalized",397,644,12,1,0,0,2,0,0,1,0,1,1,1,2,1,"true","false","true",2,NA,"",NA,"",""
"sp_176_Normalized",400,489,9,0,0,0,1,0,0,1,0,0,1,0,2,1,"true","false","true",2,NA,"",NA,"",""
"sp_238_Normalized",400,680,14,0,0,0,4,0,0,2,1,1,3,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_233_Normalized",401,957,40,1,0,1,11,0,14,2,3,0,1,0,3,0,"true","false","true",2,NA,"",NA,"",""
"sp_271_Normalized",402,731,13,0,0,0,1,1,0,2,0,0,2,0,2,3,"true","false","true",2,NA,"",NA,"",""
"sp_382_Normalized",408,64,3,0,0,0,1,0,0,0,0,0,0,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_141_Normalized",408,820,22,0,0,0,6,0,1,2,1,0,3,0,2,3,"true","false","true",2,NA,"",NA,"",""
"sp_48_Normalized",428,583,11,0,0,0,0,0,0,2,0,0,1,0,2,1,"true","false","true",2,NA,"",NA,"",""
"sp_174_Normalized",435,815,48,0,0,1,4,0,28,1,8,1,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"sp_315_Normalized",439,788,22,1,0,1,4,0,1,3,1,1,2,0,2,4,"true","false","true",2,NA,"",NA,"",""
"sp_260_Normalized",455,1336,28,0,1,1,5,0,0,2,3,1,3,1,4,1,"true","false","true",2,NA,"",NA,"",""
"sp_256_Normalized",455,1336,17,0,0,0,4,0,1,2,3,0,2,0,1,0,"true","false","true",2,NA,"",NA,"",""
"sp_171_Normalized",458,673,10,0,0,0,2,0,1,1,0,1,1,0,2,0,"true","false","true",2,NA,"",NA,"",""
"sp_278_Normalized",464,804,16,0,0,0,3,0,0,2,0,0,3,1,2,3,"true","false","true",2,NA,"",NA,"",""
"sp_60_Normalized",467,1094,141,0,1,0,3,0,96,1,28,0,2,0,2,2,"true","false","true",2,NA,"",NA,"",""
"sp_325_Normalized",489,1052,605,0,0,0,2,0,507,1,87,0,1,0,1,2,"true","false","true",2,NA,"",NA,"",""
"sp_327_Normalized",495,1324,15,0,0,3,4,0,1,1,1,0,1,1,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_78_Normalized",495,985,200,0,0,0,3,0,162,0,30,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"sp_86_Normalized",502,1085,200,0,0,0,2,0,159,1,33,1,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_89_Normalized",506,1100,242,0,0,0,3,0,195,1,36,0,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"sp_146_Normalized",506,1014,20,1,0,0,5,0,0,2,0,0,4,1,2,3,"true","false","true",2,NA,"",NA,"",""
"sp_85_Normalized",509,1093,234,0,0,1,2,0,186,1,39,1,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"sp_92_Normalized",510,1085,187,1,0,1,1,0,153,1,25,0,0,0,1,1,"true","false","true",2,NA,"",NA,"",""
"sp_405_Normalized",511,1108,16,0,0,0,3,0,4,1,1,0,1,1,1,2,"true","false","true",2,NA,"",NA,"",""
"sp_301_Normalized",513,792,10,0,0,1,1,0,1,0,0,1,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"sp_59_Normalized",514,1893,17,1,0,1,3,0,0,1,2,0,2,0,2,1,"true","false","true",2,NA,"",NA,"",""
"sp_414_Normalized",516,1721,361,0,1,0,3,0,312,1,36,0,2,0,1,3,"true","false","true",2,NA,"",NA,"",""
"sp_71_Normalized",525,1492,9,0,0,0,2,0,1,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
