objectId,witness
wp_87_Normalized,""""""
wp_86_Normalized,""""""
wp_82_Normalized,""""""
wp_59_Normalized,true
wp_61_Normalized,""""""
wp_60_Normalized,""""""
wp_66_Normalized,""""""
wp_90_Normalized,""""""
wp_95_Normalized,{}
wp_69_Normalized,""""""
wp_36_Normalized,{}
wp_70_Normalized,""""""
wp_71_Normalized,""""""
wp_39_Normalized,""""""
wp_44_Normalized,[]
wp_56_Normalized,""""""
wp_108_Normalized,true
wp_50_Normalized,""""""
wp_40_Normalized,""""""
wp_46_Normalized,[]
wp_52_Normalized,""""""
wp_64_Normalized,{}
wp_97_Normalized,"""0.10.9"""
wp_92_Normalized,""""""
wp_38_Normalized,"""left"""
wp_99_Normalized,""""""
wp_101_Normalized,""""""
wp_43_Normalized,""""""
wp_88_Normalized,[]
wp_67_Normalized,""""""
wp_41_Normalized,{}
wp_42_Normalized,""""""
wp_54_Normalized,{}
wp_62_Normalized,"{""x"":0,""y"":0}"
wp_77_Normalized,"""standard"""
wp_91_Normalized,"{""basic"":""""}"
wp_55_Normalized,"{""basic"":""""}"
wp_93_Normalized,{}
wp_58_Normalized,{}
wp_65_Normalized,"{""basic"":""""}"
wp_106_Normalized,"{""uid"":"""",""_id"":""""}"
wp_49_Normalized,{}
wp_120_Normalized,"{""uid"":"""",""score"":0,""_id"":""""}"
wp_109_Normalized,"{""score"":0,""keyword"":""""}"
wp_72_Normalized,{}
wp_110_Normalized,"{""name"":"""",""_id"":"""",""type"":""""}"
wp_122_Normalized,{}
wp_104_Normalized,"{""url"":""""}"
wp_102_Normalized,{}
wp_84_Normalized,{}
wp_121_Normalized,{}
wp_63_Normalized,{}
wp_45_Normalized,{}
wp_37_Normalized,{}
wp_76_Normalized,{}
wp_89_Normalized,{}
wp_80_Normalized,{}
wp_10_Normalized,"{""note"":"""",""organization_id"":"""",""id"":"""",""type"":""planning-note-operation"",""operation"":""update""}"
wp_85_Normalized,{}
wp_119_Normalized,"{""text"":""""}"
wp_68_Normalized,{}
wp_75_Normalized,{}
wp_115_Normalized,"{""name"":"""",""type"":""site"",""version"":""0.10.9""}"
wp_22_Normalized,"{""type"":""divider""}"
wp_111_Normalized,{}
wp_48_Normalized,{}
wp_79_Normalized,{}
wp_32_Normalized,"{""type"":""raw_html"",""content"":""""}"
wp_24_Normalized,"{""endorsement"":""""}"
wp_18_Normalized,"{""type"":""blockquote"",""content"":""""}"
wp_25_Normalized,"{""type"":""header"",""content"":""""}"
wp_19_Normalized,"{""language"":"""",""type"":""code"",""content"":""""}"
wp_20_Normalized,"{""text"":"""",""type"":""correction""}"
wp_57_Normalized,"{""category"":""staff""}"
wp_30_Normalized,"{""numeric_rating"":0}"
wp_114_Normalized,"{""name"":"""",""type"":""section"",""version"":""0.10.9""}"
wp_34_Normalized,"{""type"":""text"",""content"":""""}"
wp_103_Normalized,"{""organization_id"":"""",""id"":"""",""type"":""url-operation"",""operation"":""insert-redirect""}"
wp_51_Normalized,[]
wp_112_Normalized,"{""referent"":{""id"":"""",""type"":""story""},""type"":""promo_reference""}"
wp_107_Normalized,"{""type"":""""}"
wp_21_Normalized,"{""embed"":{""id"":""\u0000"",""url"":""\u0000""},""type"":""custom_embed""}"
wp_113_Normalized,"{""referent"":{""id"":""""},""type"":""reference""}"
wp_47_Normalized,[]
wp_74_Normalized,{}
wp_116_Normalized,"{""headlines"":{""basic"":""""},""_id"":"""",""type"":""story"",""last_updated_date"":"""",""canonical_url"":"""",""revision"":{}}"
wp_33_Normalized,"{""type"":""table"",""rows"":[]}"
wp_11_Normalized,"{""organization_id"":"""",""id"":"""",""type"":""platform-pitch-operation"",""body"":{},""operation"":""create""}"
wp_13_Normalized,"{""type"":""redirect"",""canonical_url"":"""",""version"":""0.10.9"",""redirect_url"":""""}"
wp_28_Normalized,"{""type"":""list""}"
wp_12_Normalized,"{""organization_id"":"""",""id"":"""",""body"":{},""type"":""publication-pitch-operation"",""operation"":""create""}"
wp_117_Normalized,{}
wp_29_Normalized,"{""type"":""list""}"
wp_16_Normalized,"{""organization_id"":"""",""id"":"""",""type"":""site-service"",""operation"":""insert""}"
wp_23_Normalized,"{""content_elements"":[],""type"":""element_group""}"
wp_73_Normalized,{}
wp_14_Normalized,"{""reasons"":[],""type"":""restricted""}"
wp_118_Normalized,{}
wp_81_Normalized,"{""has_published_edition"":true}"
wp_31_Normalized,"{""content_elements"":[]}"
wp_2_Normalized,"{""organization_id"":"""",""published"":true,""id"":"""",""type"":""clavis-operation"",""branch"":"""",""operation"":""update""}"
wp_100_Normalized,{}
