objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
wp_87_Normalized,117,166,825,54,566,4,23,0,0,8,0,1,3,0,95,11,true,false,true,2,,28062022_214246,0,1954a5778c6349c1a2283d9983b8a253996f73ed,pcattouche
wp_86_Normalized,118,166,8,0,1,0,0,0,0,1,0,1,1,0,1,2,true,false,true,2,,,,,
wp_82_Normalized,133,166,8,0,1,0,1,0,0,1,0,0,0,0,2,1,true,false,true,2,,,,,
wp_59_Normalized,133,230,14,1,0,1,2,0,0,3,0,0,1,0,2,0,true,false,true,2,,,,,
wp_61_Normalized,145,166,5,0,0,0,1,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_60_Normalized,147,166,5,0,0,0,0,0,0,0,0,1,0,0,1,1,true,false,true,2,,,,,
wp_66_Normalized,154,166,5,0,0,0,1,0,0,1,0,0,0,1,1,1,true,false,true,2,,,,,
wp_90_Normalized,154,166,5,0,1,0,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_95_Normalized,159,196,41,0,1,1,3,0,1,1,0,0,4,0,13,6,true,false,true,2,,,,,
wp_69_Normalized,163,166,5,0,1,0,0,0,0,1,0,0,0,1,1,1,true,false,true,2,,,,,
wp_36_Normalized,164,196,8,0,0,0,2,0,0,1,0,1,1,0,1,1,true,false,true,2,,,,,
wp_70_Normalized,171,166,4,0,0,0,0,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
wp_71_Normalized,180,166,5,0,0,1,0,0,0,1,0,0,0,0,1,1,true,false,true,2,,,,,
wp_39_Normalized,196,166,5,0,0,0,1,0,0,0,0,2,0,0,1,1,true,false,true,2,,,,,
wp_44_Normalized,196,433,54,0,1,0,3,0,9,2,3,0,2,1,29,1,true,false,true,2,,,,,
wp_56_Normalized,206,166,5,0,0,0,1,0,0,1,0,1,0,0,1,1,true,false,true,2,,,,,
wp_108_Normalized,217,756,35,0,1,2,2,0,0,2,1,1,9,1,11,1,true,false,true,2,,,,,
wp_50_Normalized,225,166,4,0,0,0,1,0,0,0,0,0,1,0,1,1,true,false,true,2,,,,,
wp_40_Normalized,242,166,4,0,0,1,0,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_46_Normalized,244,811,27,0,1,14,2,0,1,1,2,0,1,0,3,0,true,false,true,2,,,,,
wp_52_Normalized,253,166,4,0,1,0,0,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_64_Normalized,256,706,16,0,0,0,1,0,1,1,0,0,7,0,2,1,true,false,true,2,,,,,
wp_97_Normalized,283,240,4,0,0,0,1,0,0,1,0,1,0,0,1,0,true,false,true,2,,,,,
wp_92_Normalized,290,166,3,0,0,0,1,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
wp_38_Normalized,293,647,9,0,0,1,1,0,0,2,0,1,1,0,2,0,true,false,true,2,,,,,
wp_99_Normalized,316,166,4,0,0,1,0,0,0,0,0,0,0,0,1,1,true,false,true,2,,,,,
wp_101_Normalized,329,166,4,1,0,0,0,0,0,0,0,1,0,0,1,1,true,false,true,2,,,,,
wp_43_Normalized,334,166,4,1,0,0,0,0,0,0,0,1,0,0,1,1,true,false,true,2,,,,,
wp_88_Normalized,360,1548,17,0,0,0,2,0,1,2,2,0,2,1,2,1,true,false,true,2,,,,,
wp_67_Normalized,373,166,3,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
wp_41_Normalized,401,821,9,1,0,0,0,0,0,1,2,0,1,0,2,0,true,false,true,2,,,,,
