objectId,witness
wp_87_Normalized,"""hjmyuwwkrxnfm"""
wp_86_Normalized,"""hjmyuwwkrxnfm"""
wp_82_Normalized,"""hjmyuwwkrxnfm"""
wp_59_Normalized,true
wp_61_Normalized,"""hjmyuwwkrxnfm"""
wp_60_Normalized,"""hjmyuwwkrxnfm"""
wp_66_Normalized,"""hjmyuwwkrxnfm"""
wp_90_Normalized,"""hjmyuwwkrxnfm"""
wp_95_Normalized,{ }
wp_69_Normalized,"""hjmyuwwkrxnfm"""
wp_36_Normalized,{ }
wp_70_Normalized,"""hjmyuwwkrxnfm"""
wp_71_Normalized,"""hjmyuwwkrxnfm"""
wp_39_Normalized,"""hjmyuwwkrxnfm"""
wp_44_Normalized,[ ]
wp_56_Normalized,"""hjmyuwwkrxnfm"""
wp_108_Normalized,[ ]
wp_50_Normalized,"""hjmyuwwkrxnfm"""
wp_40_Normalized,"""hjmyuwwkrxnfm"""
wp_46_Normalized,[ ]
wp_52_Normalized,"""hjmyuwwkrxnfm"""
wp_64_Normalized,{ }
wp_97_Normalized,"""0.10.9"""
wp_92_Normalized,"""hjmyuwwkrxnfm"""
wp_38_Normalized,"""center"""
wp_99_Normalized,"""hjmyuwwkrxnfm"""
wp_101_Normalized,"""hjmyuwwkrxnfm"""
wp_43_Normalized,"""hjmyuwwkrxnfm"""
wp_88_Normalized,[ ]
wp_67_Normalized,"""hjmyuwwkrxnfm"""
wp_41_Normalized,{ }
wp_42_Normalized,"""hjmyuwwkrxnfm"""
wp_54_Normalized,{ }
wp_62_Normalized,"{
  ""x"" : -1.7976931348623157E308,
  ""y"" : -1.7976931348623157E308
}"
wp_77_Normalized,"""standard"""
wp_91_Normalized,[ ]
wp_55_Normalized,[ ]
wp_93_Normalized,{ }
wp_58_Normalized,{ }
wp_65_Normalized,[ ]
wp_106_Normalized,"{
  ""uid"" : ""myu"",
  ""_id"" : ""krxnfmqgeebeo""
}"
wp_49_Normalized,{ }
wp_120_Normalized,"{
  ""score"" : -1.7976931348623157E308,
  ""uid"" : ""wwkrxnfmqgeebe"",
  ""_id"" : ""pezsdzspmq""
}"
wp_109_Normalized,"{
  ""score"" : -1.7976931348623157E308,
  ""keyword"" : ""w""
}"
wp_72_Normalized,{ }
wp_110_Normalized,"{
  ""name"" : ""myu"",
  ""_id"" : ""krxnfmqgeebeo"",
  ""type"" : ""ezsdzspmqcxjtg""
}"
wp_122_Normalized,{ }
wp_104_Normalized,"{
  ""url"" : ""wwkrxnfmqgeebe""
}"
wp_102_Normalized,{ }
wp_84_Normalized,{ }
wp_121_Normalized,{ }
wp_63_Normalized,{ }
wp_45_Normalized,{ }
wp_37_Normalized,{ }
wp_76_Normalized,{ }
wp_89_Normalized,{ }
wp_80_Normalized,{ }
wp_10_Normalized,"{
  ""note"" : """",
  ""organization_id"" : """",
  ""id"" : """",
  ""type"" : ""planning-note-operation"",
  ""operation"" : ""update""
}"
wp_85_Normalized,{ }
wp_119_Normalized,"{
  ""text"" : ""krxnfmqgeebeo""
}"
wp_68_Normalized,{ }
wp_75_Normalized,{ }
wp_115_Normalized,"{
  ""name"" : ""krxnfmqgeebeo"",
  ""type"" : ""site"",
  ""version"" : ""0.10.9""
}"
wp_22_Normalized,"{
  ""type"" : ""divider""
}"
wp_111_Normalized,{ }
wp_48_Normalized,{ }
wp_79_Normalized,{ }
wp_32_Normalized,"{
  ""type"" : ""raw_html"",
  ""content"" : ""rxnfmqgeebeoa""
}"
wp_24_Normalized,"{
  ""endorsement"" : ""krxnfmqgeebeo""
}"
wp_18_Normalized,"{
  ""type"" : ""blockquote"",
  ""content"" : ""rxnfmqgeebeoa""
}"
wp_25_Normalized,"{
  ""type"" : ""header"",
  ""content"" : ""xnfm""
}"
wp_19_Normalized,"{
  ""language"" : ""w"",
  ""type"" : ""code"",
  ""content"" : ""fmqgeeb""
}"
wp_20_Normalized,"{
  ""text"" : ""krxnfmqgeebeo"",
  ""type"" : ""correction""
}"
wp_57_Normalized,{ }
wp_30_Normalized,"{
  ""numeric_rating"" : -1.7976931348623157E308
}"
wp_114_Normalized,"{
  ""name"" : ""xnfm"",
  ""type"" : ""section"",
  ""version"" : ""0.10.9""
}"
wp_34_Normalized,"{
  ""type"" : ""text"",
  ""content"" : ""xnfm""
}"
wp_103_Normalized,"{
  ""organization_id"" : """",
  ""id"" : """",
  ""type"" : ""url-operation"",
  ""operation"" : ""insert-redirect""
}"
wp_51_Normalized,[ ]
wp_112_Normalized,"{
  ""referent"" : {
    ""id"" : ""rxnfmqgeebeoa"",
    ""type"" : ""story""
  },
  ""type"" : ""promo_reference""
}"
wp_107_Normalized,"{
  ""type"" : ""krxnfmqgeebeo""
}"
wp_21_Normalized,"{
  ""embed"" : {
    ""id"" : ""rxnfmqgeebeoap"",
    ""url"" : ""sdzspmqcxjtgdyx""
  },
  ""type"" : ""custom_embed""
}"
wp_113_Normalized,"{
  ""referent"" : {
    ""id"" : ""mqg""
  },
  ""type"" : ""reference""
}"
wp_47_Normalized,[ ]
wp_74_Normalized,{ }
wp_116_Normalized,"{
  ""headlines"" : false,
  ""_id"" : ""uwwk"",
  ""type"" : ""story"",
  ""canonical_url"" : ""mqg"",
  ""last_updated_date"" : ""beoape"",
  ""revision"" : { }
}"
wp_33_Normalized,"{
  ""type"" : ""table"",
  ""rows"" : [ ]
}"
wp_11_Normalized,"{
  ""organization_id"" : """",
  ""id"" : """",
  ""type"" : ""platform-pitch-operation"",
  ""body"" : { },
  ""operation"" : ""update""
}"
wp_13_Normalized,"{
  ""type"" : ""redirect"",
  ""canonical_url"" : ""w"",
  ""version"" : ""0.10.9"",
  ""redirect_url"" : ""fmqgeeb""
}"
wp_28_Normalized,"{
  ""type"" : ""list""
}"
wp_12_Normalized,"{
  ""organization_id"" : """",
  ""id"" : """",
  ""type"" : ""publication-pitch-operation"",
  ""body"" : { },
  ""operation"" : ""update""
}"
wp_117_Normalized,{ }
wp_29_Normalized,"{
  ""type"" : ""text"",
  ""content"" : ""nfmqgeebeoape""
}"
wp_16_Normalized,"{
  ""organization_id"" : """",
  ""id"" : """",
  ""type"" : ""site-service"",
  ""operation"" : ""update""
}"
wp_23_Normalized,"{
  ""content_elements"" : [ ],
  ""type"" : ""element_group""
}"
wp_73_Normalized,{ }
wp_14_Normalized,"{
  ""reasons"" : [ ],
  ""type"" : ""restricted""
}"
wp_118_Normalized,{ }
wp_81_Normalized,"{
  ""has_published_edition"" : false
}"
wp_31_Normalized,"{
  ""content_elements"" : [ ]
}"
wp_2_Normalized,"{
  ""organization_id"" : """",
  ""id"" : """",
  ""published"" : false,
  ""type"" : ""clavis-operation"",
  ""operation"" : ""update"",
  ""branch"" : """"
}"
wp_100_Normalized,{ }
