objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
wp_94_Normalized,23860,78738,1376,36,388,63,143,0,16,43,33,22,405,33,55,5,true,false,true,4,,13062022_215827,0,1309f5802593d673c53c7730e652ea21f5e98596,pcattouche
wp_96_Normalized,100027,1064873,21129,3,8,17,305,0,68,50,59,45,11338,6230,29,17,true,false,true,4,,,,,
wp_53_Normalized,100048,1070168,20060,2,3,5,168,0,27,23,33,27,10927,6063,23,8,true,false,true,4,,,,,
wp_78_Normalized,100148,1051908,19929,1,2,5,165,0,30,22,33,25,10606,5956,25,15,true,false,true,4,,,,,
wp_83_Normalized,100192,1035177,18641,2,3,5,172,0,30,25,34,25,12088,4337,19,7,true,false,true,4,,,,,
wp_8_Normalized,100344,1123286,20677,2,1,3,158,0,24,20,31,22,11327,6187,17,20,true,false,true,4,,,,,
wp_105_Normalized,100546,1144386,20571,1,1,4,158,0,26,20,27,22,11290,6055,16,7,true,false,true,4,,,,,
wp_4_Normalized,100554,1119975,20865,1,0,3,157,0,24,21,30,22,11389,6300,22,7,true,false,true,4,,,,,
wp_1_Normalized,104992,1125338,20658,0,1,2,157,0,28,20,30,27,11300,6259,14,10,true,false,true,4,,,,,
wp_9_Normalized,105788,1120766,20628,1,3,4,165,0,26,23,32,25,11146,6324,14,7,true,false,true,4,,,,,
wp_26_Normalized,107125,1195826,20310,0,1,3,157,0,31,21,33,24,11224,5930,16,6,true,false,true,4,,,,,
wp_5_Normalized,108152,1140101,19933,1,0,3,155,0,27,24,36,21,10959,5896,18,6,true,false,true,4,,,,,
wp_0_Normalized,109060,1135991,20151,0,1,2,172,0,29,21,31,20,11088,5978,17,7,true,false,true,4,,,,,
wp_27_Normalized,109508,1180445,20868,1,0,3,161,0,22,21,32,24,11381,6264,18,17,true,false,true,4,,,,,
wp_15_Normalized,109531,1148825,20257,0,1,2,153,0,36,21,29,21,10953,6145,15,6,true,false,true,4,,,,,
wp_6_Normalized,111498,1152217,19917,1,1,2,180,0,28,21,31,21,10974,5801,16,6,true,false,true,4,,,,,
wp_98_Normalized,111978,1099170,20595,1,1,2,176,0,30,22,32,23,11627,6046,18,16,true,false,true,4,,,,,
wp_123_Normalized,116157,1140324,19853,0,1,2,188,0,24,23,31,21,10982,5796,19,5,true,false,true,4,,,,,
wp_7_Normalized,116261,1140024,20021,0,1,2,187,0,27,23,30,22,10986,5964,17,6,true,false,true,4,,,,,
wp_124_Normalized,120959,1154504,20825,1,1,2,197,0,28,22,31,21,11407,6256,16,6,true,false,true,4,,,,,
wp_3_Normalized,127086,1150392,20310,0,1,2,201,0,29,24,35,23,11046,6097,17,6,true,false,true,4,,,,,
wp_17_Normalized,139858,1173823,20639,0,1,2,227,0,34,26,39,23,11490,5968,24,7,true,false,true,4,,,,,
wp_35_Normalized,145128,1187212,22178,0,1,2,234,0,37,27,39,27,12432,6360,21,8,true,false,true,4,,,,,
