objectId,inSize,totalTime,loadSchema,initGenerator,generation,genSuccess,valid
wp_94_Normalized,23860,535,234,251,2,true,true
wp_96_Normalized,100027,243,141,93,0,true,true
wp_53_Normalized,100048,178,96,78,0,true,true
wp_78_Normalized,100148,159,84,72,0,true,true
wp_83_Normalized,100192,156,84,69,0,true,true
wp_8_Normalized,100344,149,81,64,1,true,true
wp_105_Normalized,100546,155,82,70,0,true,true
wp_4_Normalized,100554,185,106,76,0,true,true
wp_1_Normalized,104992,161,89,58,11,true,true
wp_9_Normalized,105788,155,87,58,7,true,true
wp_26_Normalized,107125,134,81,49,1,true,true
wp_5_Normalized,108152,143,87,48,6,true,true
wp_0_Normalized,109060,134,73,50,9,true,true
wp_27_Normalized,109508,139,77,59,1,true,true
wp_15_Normalized,109531,182,134,46,0,true,true
wp_6_Normalized,111498,152,93,55,1,true,true
wp_98_Normalized,111978,124,74,48,0,true,true
wp_123_Normalized,116157,131,82,47,0,true,true
wp_7_Normalized,116261,123,70,46,5,true,true
wp_124_Normalized,120959,141,81,55,3,true,true
wp_3_Normalized,127086,153,104,46,0,true,true
wp_17_Normalized,139858,148,96,48,1,true,true
wp_35_Normalized,145128,185,127,54,1,true,true
